record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,persistence,ancova_level,B3,,,,calibration_slope,0.983015858101706,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B4,,,,RMSE,0.8696486799444103,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B4,,,,MAE,0.6876296603541305,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B4,,,,predictive_R2,0.2724026565602438,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B4,,,,mean_log_predictive_density,-1.2801829368138744,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B4,,,,calibration_intercept,0.0026568437654123,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B4,,,,calibration_slope,0.9804311383278462,,,,1166,1049,1050,,,,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B1,B1_minus_B0,RMSE,0.0217750940567177,0.0098588382773047,0.0332428544004177,0.00627582725335,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B1,B1_minus_B0,MAE,0.0208975776706259,0.0103473483067409,0.0314928952301031,0.005400895143863,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B1,B1_minus_B0,predictive_R2,0.0360283360895162,0.0161672099159059,0.0553349047234889,0.0103636511530608,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B1,B1_minus_B0,mean_log_predictive_density,0.0250963146458003,0.0112528473136448,0.038861587886539,0.007453467100238,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B2,B2_minus_B0,RMSE,0.0011444122689683,-0.0031510969063531,0.0053069023657747,0.0021797756698636,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B2,B2_minus_B0,MAE,0.0020321133113894,-0.0015063343470945,0.0057498024296999,0.0019017350074122,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B2,B2_minus_B0,predictive_R2,0.0019162202436865,-0.0052213094661841,0.0089019588035931,0.0036586945132613,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,ancova_level,,B0,B2,B2_minus_B0,mean_log_predictive_density,0.0012373379456094,-0.0037738086889811,0.0061961801382408,0.0025858460259627,1166,1049,1050,,500.0,500.0,
